Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.07641,-3023.10873,0.99784,522.27524,"[-6390.647427035562, 344.42996347555436]",0.10048,-75439.35944,0.99807,537.38414,"[-166534.75614415848, 15656.037255385745]",0.53691,-793999.73741,0.99810,503.36787,Non classé
M109T1541,0.03015,-4431.23532,0.99797,555.30025,"[-8402.573609213297, -459.8970276148716]",0.00660,-130573.24864,0.99850,691.77994,"[-221326.5691041114, -39819.928167164486]",0.26618,-1649773.48786,0.99857,672.02388,Substrat
M111T1582,0.01946,-6254.92180,0.99803,572.09944,"[-11416.723802251418, -1093.1198074456743]",0.26473,95665.23684,0.99813,554.67655,"[-77030.35988700329, 268360.833569705]",0.04424,7647893.53420,0.99842,607.39310,"Substrat,Recyclé"
M116T2326,0.01037,-5414.21479,0.99811,597.59351,"[-9441.495461781184, -1386.9341153541113]",0.02368,-96385.47547,0.99847,678.76196,"[-178780.4261872351, -13990.52475003885]",0.99068,-11199.01678,0.99847,625.55066,Substrat
M119T1583,0.34567,-1468.34497,0.99764,478.08518,"[-4610.818658800956, 1674.1287229590962]",0.00016,58146.09530,0.99868,788.38658,"[31160.268182003103, 85131.92241976787]",0.05606,351594.25308,0.99887,848.77455,Transitoire
M119T1393,0.00330,-5520.88329,0.99826,647.92220,"[-9029.078088501892, -2012.6884958442738]",0.85481,-6734.85498,0.99826,597.86145,"[-81758.55393098903, 68288.84397597387]",0.03497,2403057.82988,0.99856,665.89065,"Substrat,Recyclé"
M123T2886,0.11559,-3157.02865,0.99778,508.83984,"[-7143.1928352301165, 829.135543811271]",0.30355,24866.89076,0.99788,489.62497,"[-23886.98129135301, 73620.76281301561]",0.00700,1000621.75738,0.99844,615.12171,Recyclé
M123T3018,0.01899,-6362.04613,0.99803,573.05931,"[-11589.58203792091, -1134.510218909687]",0.26363,-57193.75904,0.99813,555.73734,"[-160197.15784736592, 45809.639763733925]",0.00612,3754681.89279,0.99864,705.33669,"Substrat,Recyclé"
M123T2482,0.00273,-4742.01304,0.99828,656.82706,"[-7685.734522041075, -1798.291561189501]",0.18631,-27980.03027,0.99840,650.03351,"[-70385.91660123991, 14425.85605202549]",0.31180,-582555.64067,0.99847,625.76130,Substrat
M125T2483,0.02884,-1046.58453,0.99797,556.96324,"[-1976.3289955080297, -116.84006013295698]",0.00649,-2573.41387,0.99850,694.64862,"[-4358.094995394155, -788.732738820044]",0.96755,-163.92094,0.99850,640.23331,Substrat
M127T1169,0.85097,-239.13864,0.99756,462.30605,"[-2829.4757549029673, 2351.19847169047]",0.91760,4017.36459,0.99756,426.18974,"[-75154.04281080315, 83188.7719918735]",0.38492,913275.81316,0.99764,405.62654,Non classé
M131T579,0.00184,-6033.39176,0.99833,675.77303,"[-9609.220491941742, -2457.563020282079]",0.47002,-25894.48496,0.99837,636.13436,"[-98592.9573634075, 46803.987446216255]",0.07853,1785799.10117,0.99857,668.88563,Substrat
M133T1170,0.64106,-845.30238,0.99758,465.62596,"[-4528.687701647281, 2838.0829402593795]",0.99906,61.00408,0.99758,429.06241,"[-105875.64684805083, 105997.65500134854]",0.29519,1578242.79715,0.99769,414.33858,Non classé
M135T1170,0.88147,-238.27829,0.99756,462.06864,"[-3491.039670270572, 3014.483086021579]",0.00823,-143079.07385,0.99816,566.42403,"[-245750.04534897383, -40408.10234114586]",0.31589,-1404623.82864,0.99824,544.88058,Non classé
M135T1242,0.00019,-3294.54507,0.99859,798.08358,"[-4852.256824523974, -1736.8333134963625]",0.83886,-720.83434,0.99859,736.65737,"[-7945.723320897786, 6504.0546345226185]",0.00058,-143603.60802,0.99915,1123.77143,Substrat
M137T512,0.00091,-5954.75147,0.99841,710.94945,"[-9225.504078493552, -2683.9988678889213]",0.30885,-27240.87609,0.99848,683.44358,"[-81249.84456785485, 26768.092396393244]",0.51104,588995.32152,0.99851,641.56029,Substrat
M137T2483,0.19377,-1947.25016,0.99771,493.34149,"[-4947.692275765956, 1053.1919627607733]",0.83025,5269.99724,0.99772,455.45687,"[-44832.00117064164, 55371.995646915224]",0.12884,-870029.49798,0.99793,463.11683,Non classé
M137T1541,0.07713,-2817.00665,0.99784,521.96283,"[-5963.079999850621, 329.06670796506023]",0.03382,-125936.77213,0.99820,578.19031,"[-241446.1293902952, -10427.414879043688]",0.64141,-690476.67610,0.99822,537.80891,Non classé
M145T2483,0.07379,-3614.12454,0.99785,523.44640,"[-7601.673818853481, 373.4247424106952]",0.72588,-7996.59057,0.99786,484.77329,"[-54445.055312374156, 38451.87418105795]",0.64585,-193033.61035,0.99788,450.80763,Non classé
M145T1200,0.00398,-5738.05053,0.99824,639.34610,"[-9471.200423783983, -2004.9006269149077]",0.34079,-33197.06003,0.99830,611.40424,"[-103601.31848192884, 37207.19842451339]",0.16013,1399138.91791,0.99844,612.88470,Substrat
M155T1582,0.05374,-4006.19184,0.99789,534.33266,"[-8081.8049675769, 69.42129674034368]",0.14210,-73906.78973,0.99807,537.72439,"[-174321.96914117254, 26508.38968379353]",0.73141,-452548.63373,0.99808,498.06180,Non classé
M159T2482,0.00764,-3947.37125,0.99815,610.49839,"[-6753.382942781547, -1141.3595499240687]",0.10828,-32591.27182,0.99834,625.10006,"[-72891.06772750203, 7708.524092962478]",0.48138,-268654.61816,0.99837,588.39129,Substrat
M161T546,0.00135,-5281.13616,0.99837,690.96722,"[-8305.645212196845, -2256.6271003368406]",0.83217,4572.49473,0.99837,637.87845,"[-39402.71944692489, 48547.70889736613]",0.03693,587685.63659,0.99865,707.64249,"Substrat,Recyclé"
M161T1169,0.21069,1756.36758,0.99770,490.98109,"[-1056.7929070421533, 4569.528065896081]",0.09707,77974.59500,0.99795,506.33129,"[-15181.799091348774, 171130.98908666905]",0.22918,1393289.56443,0.99807,496.29901,Non classé
M161T2482,0.00553,-5365.14529,0.99819,624.64847,"[-9009.674086141951, -1720.6164969110555]",0.93102,2238.47029,0.99819,575.77388,"[-50489.14731290267, 54966.08789211308]",0.79520,176057.79167,0.99820,532.15911,Substrat
M163T1583,0.82566,-410.69622,0.99756,462.54633,"[-4204.710104293579, 3383.3176678324203]",0.22086,32063.07438,0.99771,453.16933,"[-20528.64113622586, 84654.78989970023]",0.00290,1933860.63281,0.99843,609.38189,Recyclé
M163T1397,0.00340,-5596.74885,0.99825,646.64177,"[-9165.439419752613, -2028.0582729733937]",0.99232,-325.65783,0.99825,595.86607,"[-69297.40022181124, 68646.08455930183]",0.31532,836947.93193,0.99833,573.25901,Substrat
M164T1542,0.05507,-4465.24516,0.99789,533.47953,"[-9034.768969224217, 104.27865423631283]",0.03326,-122760.76311,0.99824,591.63447,"[-234967.2925022698, -10554.233718223928]",0.96847,62793.12779,0.99824,545.28663,Non classé
M167T2886,0.04435,911.73752,0.99792,541.14451,"[24.83885918735359, 1798.6361863931304]",0.07042,-2729.52293,0.99818,570.04127,"[-5704.050016933973, 245.0041504491137]",0.23718,4200.17584,0.99828,557.58238,Produit
M167T3019,0.05131,1570.70995,0.99790,535.95913,"[-9.630049835408045, 3151.049957870004]",0.11071,-9890.66775,0.99810,548.00389,"[-22209.408225575367, 2428.0727229064996]",0.02704,-97561.30957,0.99846,621.95828,Non classé
