Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.35674,7.06457,0.43734,2.68510,"[-8.264837806949618, 22.393977898497862]",0.02292,495.34605,0.51169,3.23100,"[72.50158125695333, 918.1905207075226]",0.11232,10112.31200,0.54516,3.31919,Transitoire
M109T1541,0.63667,-3.60400,0.42786,2.58344,"[-18.925757919040578, 11.717764327650233]",0.13736,407.60869,0.46143,2.64173,"[-136.24504992965888, 951.4624280440283]",0.00023,28256.65632,0.63211,4.75813,Recyclé
M111T1582,0.00717,23.37360,0.52535,3.82348,"[6.724858610492131, 40.02234490381116]",0.15784,432.28892,0.55059,3.77747,"[-175.31831743250444, 1039.8961486685562]",0.53836,11472.45344,0.55535,3.45871,Produit
M116T2326,0.00602,19.92686,0.52929,3.88447,"[6.060742481559096, 33.79298063404191]",0.01203,447.66732,0.60397,4.70218,"[104.25601811397655, 791.0786229161477]",0.79470,-1331.40112,0.60472,4.23651,"Produit,Transitoire"
M119T1583,0.00003,23.78107,0.63838,6.09832,"[13.627191706707627, 33.93494997597483]",0.00994,-145.40045,0.69855,7.14496,"[-253.80681773782408, -36.99408023885441]",0.88013,-149.26905,0.69874,6.42298,Produit
M119T1393,0.00669,19.08820,0.52692,3.84770,"[5.619121645984023, 32.557285124919105]",0.09006,306.15683,0.56273,3.96793,"[-50.22993200522683, 662.543589283807]",0.18317,-7366.75427,0.58401,3.88775,Produit
M123T2886,0.96688,0.44294,0.42448,2.54790,"[-21.009033482990976, 21.894920862285314]",0.75473,43.85375,0.42601,2.28845,"[-238.46023041909217, 326.1677384822312]",0.96862,89.49236,0.42604,2.05554,Non classé
M123T3018,0.11623,16.56961,0.46109,2.95575,"[-4.297813284422503, 37.43702873797069]",0.06295,488.94713,0.50980,3.20657,"[-27.775407221934188, 1005.6696750506636]",0.40374,-6568.66720,0.51933,2.99194,Non classé
M123T2482,0.00011,19.63339,0.61347,5.48270,"[10.413133513942588, 28.853637338683484]",0.39246,94.75072,0.62113,5.05496,"[-127.12511162835213, 316.6265449193196]",0.01870,-6670.03343,0.67576,5.77151,Produit
M125T2483,0.00000,5.32308,0.87652,24.52215,"[4.409471554997241, 6.236690557434326]",0.00167,-6.61860,0.90579,29.64424,"[-10.574155797922515, -2.66303631081633]",0.47395,7.93589,0.90714,27.05193,Produit
M127T1169,0.94236,0.48321,0.42453,2.54846,"[-12.956567819438122, 13.922993819766498]",0.07426,317.97589,0.47263,2.76324,"[-32.762384453460356, 668.7141683040406]",0.68071,2189.17634,0.47513,2.50685,Non classé
M131T579,0.00378,19.69924,0.53974,4.05105,"[6.7731797497862924, 32.62529263881043]",0.09124,295.15203,0.57433,4.16015,"[-49.726869018524155, 640.030927042545]",0.17067,-7804.29201,0.59625,4.08953,Produit
M133T1170,0.10755,14.61250,0.46285,2.97673,"[-3.3348287133711203, 32.559832815993474]",0.31250,274.56453,0.47765,2.81953,"[-268.7307861391268, 817.8598482873003]",0.63725,3543.36706,0.48092,2.56561,Non classé
M135T1170,0.69727,3.02114,0.42677,2.57189,"[-12.58193994036365, 18.624211909847716]",0.14754,331.32749,0.45878,2.61363,"[-122.5095915462988, 785.1645640364845]",0.57185,4035.36535,0.46363,2.39364,Non classé
M135T1242,0.00003,11.03807,0.64106,6.16981,"[6.371851152914297, 15.704282440648491]",0.01771,-39.79603,0.69231,6.93772,"[-72.2761025061343, -7.315954566621592]",0.52134,107.59044,0.69586,6.33582,Produit
M137T512,0.00093,20.79645,0.57028,4.58449,"[9.072738235934986, 32.52016410762557]",0.14620,209.12795,0.59443,4.51909,"[-76.35204790197596, 494.6079562664165]",0.07127,-8917.00859,0.62994,4.71395,Produit
M137T2483,0.00000,19.36027,0.67602,7.20835,"[12.145179106400468, 26.57536416559963]",0.99650,0.34246,0.67602,6.43377,"[-156.99422217728656, 157.6791447635387]",0.42042,1903.67027,0.68189,5.93608,Produit
M137T1541,0.18168,-8.92142,0.45118,2.83999,"[-22.196094345140363, 4.353248069385838]",0.78322,100.82422,0.45232,2.54648,"[-636.3211431595237, 837.9695902462968]",0.07975,14664.29675,0.49768,2.74370,Non classé
M145T2483,0.00002,20.30430,0.64353,6.23654,"[11.798885758752165, 28.809723735961363]",0.37074,75.22812,0.65127,5.75833,"[-92.99388116301759, 243.45011149130937]",0.35884,-1619.17638,0.65944,5.36228,Produit
M145T1200,0.00422,20.59918,0.53731,4.01173,"[6.902350525457251, 34.296000965526204]",0.17755,225.91551,0.55979,3.92093,"[-107.10979386408931, 558.9408091304905]",0.13971,-4062.66531,0.58602,3.92005,Produit
M155T1582,0.00959,19.21674,0.51871,3.72318,"[4.956857953397199, 33.476621453950656]",0.01845,426.66085,0.58662,4.37545,"[75.99777662816189, 777.3239268579794]",0.59045,-3291.61895,0.58998,3.98459,"Produit,Transitoire"
M159T2482,0.00009,17.95861,0.61753,5.57771,"[9.658143436857356, 26.259078708631982]",0.04976,195.24261,0.65581,5.87481,"[0.21241475624313466, 390.27280588480005]",0.56002,-1156.34139,0.65908,5.35368,"Produit,Transitoire"
M161T546,0.00166,19.87874,0.55781,4.35788,"[7.9916334287453825, 31.765849466965626]",0.23537,142.16575,0.57455,4.16382,"[-96.63320124924934, 380.9646923991671]",0.06032,-2729.92941,0.61479,4.41969,Produit
M161T1169,0.55873,3.98283,0.42967,2.60259,"[-9.684672387438372, 17.650341461967678]",0.17135,227.28124,0.45817,2.60725,"[-102.84696766420205, 557.4094545652447]",0.68602,-1386.66977,0.46066,2.36523,Non classé
