Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.75681,-1.51812,0.91214,12.74068,"[-11.475140123177479, 8.438909809470037]",0.29457,139.94096,0.91584,12.30164,"[-128.95971349071033, 408.8416235329919]",0.22870,4518.86278,0.92067,12.08947,Non classé
M109T1541,0.11238,-8.98448,0.91982,14.07848,"[-20.217593471783708, 2.2486299405283106]",0.94469,10.41099,0.91983,12.97028,"[-295.11295561801035, 315.9349371261976]",0.04527,8876.39142,0.93193,14.26037,Recyclé
M111T1582,0.96357,-0.35869,0.91183,12.69133,"[-16.325467189015363, 15.608091621161506]",0.06363,456.71461,0.92295,13.54082,"[-27.83776339368268, 941.266983960883]",0.99713,42.34670,0.92295,12.47752,Non classé
M116T2326,0.78664,-1.69700,0.91206,12.72876,"[-14.433537038946406, 11.039541213154566]",0.17405,179.08851,0.91821,12.69013,"[-84.30810785770467, 442.4851185996202]",0.16527,4242.97837,0.92439,12.73443,Non classé
M119T1583,0.11807,6.31657,0.91958,14.03366,"[-1.711568061733944, 14.344704000501546]",0.24292,-51.93333,0.92377,13.69825,"[-141.2724536177934, 37.40579046016385]",0.54245,-402.63675,0.92491,12.83103,Non classé
M119T1393,0.45235,4.13574,0.91368,12.98996,"[-6.99266816301931, 15.26414264023542]",0.02955,226.75082,0.92830,14.63573,"[24.341864737109688, 429.15977499866574]",0.68904,1419.46656,0.92877,13.58169,Transitoire
M123T2886,0.79554,1.47689,0.91204,12.72554,"[-10.102587545327108, 13.056372496225343]",0.18134,91.23453,0.91799,12.65388,"[-45.30728811602674, 227.7763424729517]",0.94565,78.38458,0.91801,11.66264,Non classé
M123T3018,0.93559,-0.64355,0.91184,12.69366,"[-16.8324750913028, 15.545378959835173]",0.16988,206.64942,0.91812,12.67501,"[-94.23183330912434, 507.53066332793037]",0.40593,3732.44421,0.92039,12.04334,Non classé
M123T2482,0.85978,0.84253,0.91192,12.70663,"[-8.850336347997864, 10.535387323159558]",0.86741,11.91710,0.91202,11.71805,"[-133.37189575894203, 157.20609259324434]",0.41255,-1613.10188,0.91440,11.12676,Non classé
M125T2483,0.00009,3.31028,0.95070,23.66608,"[1.8383553097481882, 4.782209921650039]",0.07064,-3.94845,0.95663,24.93248,"[-8.253960175871956, 0.3570584134283785]",0.38699,8.49239,0.95793,23.71937,Produit
M127T1169,0.94866,-0.22867,0.91183,12.69241,"[-7.447962171481349, 6.990623204325102]",0.20828,130.09362,0.91714,12.51202,"[-77.14025261421713, 337.3274959388475]",0.44933,2136.93758,0.91905,11.82657,Non classé
M131T579,0.67931,2.40792,0.91238,12.78026,"[-9.41405446815537, 14.229891633174965]",0.15890,159.82194,0.91894,12.81578,"[-66.67780012432527, 386.32168506582036]",0.88973,474.36835,0.91901,11.81950,Non classé
