Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.87703,-0.00000,0.74267,3.26247,"[-7.117803236635881e-06, 6.112022645157946e-06]",0.16059,0.00000,0.76253,3.34486,"[-7.05365030829638e-10, 4.030496523177137e-09]",0.99090,0.00000,0.76253,3.08264,Non classé
M109T1541,0.12555,-0.00000,0.80193,4.57693,"[-1.0155387198552745e-05, 1.3193478925820598e-06]",0.04386,0.00000,0.83218,5.16543,"[6.037474178816957e-11, 3.996287342920612e-09]",0.80650,0.00000,0.83261,4.77508,Transitoire
M111T1582,0.94507,0.00000,0.90500,10.76842,"[-4.333446543525844e-06, 4.6370212254167724e-06]",0.44611,0.00000,0.90722,10.18565,"[-1.0308628871085814e-09, 2.272519637223852e-09]",0.55711,-0.00000,0.90857,9.53996,Non classé
M116T2326,0.88247,-0.00000,0.84418,6.12416,"[-5.898572289161901e-06, 5.099710786891167e-06]",0.29491,0.00000,0.85100,5.94931,"[-9.629140574174113e-10, 3.044752292073261e-09]",0.39626,-0.00000,0.85549,5.68319,Non classé
M119T1583,0.10056,0.00001,0.91185,11.69320,"[-1.4350091656901556e-06, 1.5282980779977626e-05]",0.13790,-0.00000,0.91942,11.88539,"[-5.194421480861642e-09, 7.617747381273615e-10]",0.01962,-0.00000,0.93608,14.05779,Non classé
M119T1393,0.38198,0.00000,0.89469,9.60365,"[-3.601289061598222e-06, 9.093807654582652e-06]",0.20191,0.00000,0.90146,9.52910,"[-8.320498088080983e-10, 3.744040778286632e-09]",0.42790,-0.00000,0.90406,9.04601,Non classé
M123T2886,0.77622,0.00000,0.92613,14.17333,"[-5.5753635407757885e-06, 7.386560120699067e-06]",0.44810,0.00000,0.92785,13.39542,"[-1.493667561922633e-09, 3.2800646492916168e-09]",0.61068,-0.00000,0.92864,12.49274,Non classé
M123T3018,0.96836,0.00000,0.89766,9.91500,"[-4.307606546910227e-06, 4.47880039374748e-06]",0.87752,-0.00000,0.89776,9.14629,"[-1.7599838732926502e-09, 1.5125823767153355e-09]",0.49210,-0.00000,0.89979,8.61963,Non classé
M123T2482,0.77322,0.00000,0.84231,6.03807,"[-6.380855614207341e-06, 8.487061014353163e-06]",0.05655,0.00000,0.86404,6.62013,"[-7.51708951565243e-11, 5.0691519293330365e-09]",0.39063,-0.00000,0.86824,6.32601,Non classé
M125T2483,0.00006,0.00006,0.94818,20.68540,"[3.6647986539840146e-05, 9.199502866104878e-05]",0.88031,-0.00000,0.94823,19.07967,"[-1.1068784025715105e-08, 9.546109634752495e-09]",0.74539,-0.00000,0.94846,17.66720,Produit
M127T1169,0.96193,0.00000,0.54071,1.33080,"[-9.70284378494023e-06, 1.016878190687518e-05]",0.06192,0.00000,0.60158,1.57282,"[-1.7602517975427638e-10, 6.72075185476276e-09]",0.71194,0.00000,0.60388,1.46353,Non classé
M131T579,0.57886,0.00000,0.86534,7.26453,"[-4.3353690592027955e-06, 7.5989474469739e-06]",0.60306,0.00000,0.86682,6.77991,"[-1.645858122659758e-09, 2.776857929343554e-09]",0.78003,-0.00000,0.86726,6.27233,Non classé
M133T1170,0.79266,-0.00000,0.69113,2.52947,"[-8.169966118703146e-06, 6.300354974475985e-06]",0.11814,0.00000,0.72042,2.68413,"[-5.495360332158979e-10, 4.5806411751708765e-09]",0.92038,0.00000,0.72054,2.47516,Non classé
M135T1170,0.46305,0.00000,0.62716,1.90153,"[-5.284274749106163e-06, 1.1290067639438435e-05]",0.64113,0.00000,0.63045,1.77709,"[-2.3701005210188443e-09, 3.77881735965103e-09]",0.49660,-0.00000,0.63765,1.68935,Non classé
M135T1242,0.00475,-0.00002,0.92929,14.85634,"[-3.1293859334632126e-05, -6.280199905488663e-06]",0.00362,0.00000,0.94994,19.76485,"[2.192269066803536e-09, 1.0035360146951699e-08]",0.94918,0.00000,0.94994,18.21860,"Substrat,Transitoire"
M137T512,0.42828,0.00000,0.87545,7.94573,"[-3.815688590256688e-06, 8.725438409236012e-06]",0.31738,0.00000,0.88043,7.67000,"[-1.1553230466845268e-09, 3.423629364440767e-09]",0.69481,-0.00000,0.88121,7.12142,Non classé
M137T2483,0.08998,0.00001,0.87447,7.87483,"[-1.114805056693689e-06, 1.4450275323847026e-05]",0.11844,-0.00000,0.88635,8.12429,"[-4.9257707144210795e-09, 5.929695893073788e-10]",0.57082,-0.00000,0.88790,7.60361,Non classé
M137T1541,0.06067,-0.00001,0.68590,2.46857,"[-1.4516228426857107e-05, 3.416218442259743e-07]",0.11292,0.00000,0.71651,2.63277,"[-5.320310937670702e-10, 4.727905540150506e-09]",0.60152,0.00000,0.71978,2.46588,Non classé
M145T2483,0.02805,0.00001,0.91748,12.56860,"[7.802011896770145e-07, 1.2611373127360794e-05]",0.71668,0.00000,0.91792,11.64966,"[-1.8066660038123035e-09, 2.5902521380239018e-09]",0.25412,-0.00000,0.92234,11.40164,Produit
M145T1200,0.41264,0.00000,0.93962,17.59204,"[-3.4137119139687308e-06, 8.062211816928457e-06]",0.27524,0.00000,0.94248,17.06933,"[-9.565653371730969e-10, 3.2171932178744436e-09]",0.81571,-0.00000,0.94262,15.76971,Non classé
M155T1582,0.74478,0.00000,0.84990,6.40098,"[-5.0455100928974306e-06, 6.968491920254822e-06]",0.42849,0.00000,0.85369,6.07816,"[-1.3463456517811102e-09, 3.0736351828752407e-09]",0.56258,-0.00000,0.85577,5.69589,Non classé
M159T2482,0.22004,0.00001,0.80673,4.71858,"[-3.260014763577943e-06, 1.3516712637287527e-05]",0.11668,0.00000,0.82520,4.91742,"[-6.270479122182178e-10, 5.318446339660899e-09]",0.25549,-0.00000,0.83455,4.84243,Non classé
M161T546,0.54054,0.00000,0.95167,22.26048,"[-4.4738947246409816e-06, 8.340014178372087e-06]",0.79395,0.00000,0.95181,20.57254,"[-2.078560220671531e-09, 2.689752770495098e-09]",0.88627,-0.00000,0.95185,18.97700,Non classé
M161T1169,0.41665,0.00000,0.61813,1.82985,"[-5.561652133973351e-06, 1.3025380965807666e-05]",0.01176,0.00000,0.70524,2.49228,"[9.728750706380683e-10, 7.0580910688561564e-09]",0.27131,0.00000,0.72003,2.46893,Transitoire
M161T2482,0.61090,0.00000,0.91279,11.83211,"[-4.721305873213178e-06, 7.878081610583486e-06]",0.27666,0.00000,0.91690,11.49393,"[-1.0541095774089715e-09, 3.528904708143172e-09]",0.71535,-0.00000,0.91737,10.65836,Non classé
M163T1583,0.04467,0.00001,0.93587,16.49663,"[1.8393169749558897e-07, 1.4142728265910992e-05]",0.32279,0.00000,0.93838,15.86227,"[-1.3008123599367107e-09, 3.798049153167173e-09]",0.22560,-0.00000,0.94211,15.62280,Produit
M163T1397,0.43666,0.00000,0.90798,11.15359,"[-3.6189233305818997e-06, 8.137359101099026e-06]",0.47097,0.00000,0.90991,10.52036,"[-1.3970021729255101e-09, 2.937633177767828e-09]",0.86534,-0.00000,0.91002,9.70861,Non classé
