Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.57229,0.11188,0.99990,10332.09117,"[-0.29079550952832695, 0.5145493400480434]",0.82953,1.07274,0.99990,9540.85442,"[-9.099027177138808, 11.244516576325005]",0.91287,15.49437,0.99990,8796.33188,Non classé
M109T1541,0.33933,0.21737,0.99990,10585.64418,"[-0.24220636456338007, 0.6769475989495704]",0.74611,-1.78291,0.99990,9799.34037,"[-13.017744789141188, 9.451926227882408]",0.79415,48.42423,0.99990,9057.20083,Non classé
M111T1582,0.04691,-0.55984,0.99991,11981.38110,"[-1.1114047075035054, -0.008278635962068903]",0.83179,1.95717,0.99991,11063.25676,"[-16.854332100451952, 20.768670401041245]",0.51742,-274.66445,0.99991,10386.11226,Substrat
M116T2326,0.31028,-0.23999,0.99990,10636.10285,"[-0.7172496304132834, 0.23726358330369757]",0.98479,-0.09287,0.99990,9802.38402,"[-10.040890050848024, 9.855151944388492]",0.01236,276.11700,0.99993,11927.19121,Recyclé
M119T1583,0.01931,-0.35011,0.99992,12749.98856,"[-0.6384542087949039, -0.06177498990197566]",0.77163,0.45032,0.99992,11792.58133,"[-2.7158232421711364, 3.616456339406145]",0.58664,12.37087,0.99992,11010.24651,Substrat
M119T1393,0.25843,-0.23136,0.99990,10744.12959,"[-0.6433864324046732, 0.18067123937042745]",0.69074,1.70766,0.99990,9968.70088,"[-7.044475272083654, 10.459804252706435]",0.00972,328.91875,0.99993,12362.04355,Recyclé
M123T2886,0.11201,-0.31443,0.99991,11305.61218,"[-0.707541171132826, 0.07868467034582227]",0.13674,-3.69950,0.99992,11448.39512,"[-8.658877040294984, 1.2598679271073028]",0.25635,43.57476,0.99992,11170.93157,Non classé
M123T3018,0.61658,-0.14946,0.99990,10303.39111,"[-0.7565563454468789, 0.4576369042044499]",0.90216,0.69810,0.99990,9501.71274,"[-10.899014952028784, 12.295207761953412]",0.04565,321.08510,0.99992,10455.60936,Recyclé
M123T2482,0.77009,-0.05165,0.99990,10234.11916,"[-0.4116612151993695, 0.3083695356718441]",0.09946,4.07609,0.99991,10586.11101,"[-0.8327275526840738, 8.984905376996895]",0.06330,120.60846,0.99992,11369.90542,Non classé
M125T2483,0.01114,-0.11489,0.99992,13264.59316,"[-0.20120023339982962, -0.02857566398069898]",0.78882,0.02679,0.99992,12262.02037,"[-0.17735080937324418, 0.23093198734801498]",0.02547,0.93908,0.99994,14104.01144,"Substrat,Recyclé"
M127T1169,0.04120,0.25900,0.99991,12088.96078,"[0.011196676726038163, 0.5068001944504262]",0.88444,-0.52347,0.99991,11151.20379,"[-7.878437265527991, 6.831492116768031]",0.90713,11.28002,0.99991,10281.76506,Produit
M131T579,0.22746,-0.26224,0.99990,10823.10998,"[-0.6987359955323637, 0.17426105879346776]",0.25719,4.63861,0.99991,10534.51173,"[-3.6098037789974136, 12.887020913113293]",0.00200,336.18332,0.99994,14832.17300,Recyclé
M133T1170,0.55804,0.10609,0.99990,10342.31723,"[-0.2619182890359419, 0.47409076752674156]",0.65597,2.27523,0.99990,9612.30099,"[-8.134692856809197, 12.685162179051718]",0.78366,41.53704,0.99990,8887.20886,Non classé
M135T1170,0.14716,0.22480,0.99991,11111.61289,"[-0.08467540454982259, 0.5342763137646094]",0.46478,-3.93388,0.99991,10475.94725,"[-14.86342532003598, 6.995671031166864]",0.25814,188.89771,0.99991,10217.66107,Non classé
M135T1242,0.10239,-0.16605,0.99991,11371.40423,"[-0.36774482557824695, 0.03564665202214032]",0.08375,0.76450,0.99992,11901.54215,"[-0.11000213133375936, 1.6389950158341635]",0.96599,-0.24476,0.99992,10967.85196,Non classé
M137T512,0.48583,-0.14551,0.99990,10402.69970,"[-0.5691324892222835, 0.2781040795368745]",0.15098,4.57917,0.99991,10466.22669,"[-1.7919627982295605, 10.950299882935154]",0.00131,308.05215,0.99994,15251.35437,Recyclé
M137T2483,0.04685,-0.32416,0.99991,11982.32672,"[-0.6434359514581915, -0.004878118959141531]",0.06856,4.12292,0.99992,12716.33989,"[-0.3392372207852441, 8.585078906634429]",0.58100,-28.35264,0.99993,11877.47420,Substrat
M137T1541,0.17405,0.23694,0.99991,10997.20349,"[-0.11182997644490794, 0.5857149554573533]",0.84109,1.25722,0.99991,10152.37203,"[-11.545050919301183, 14.05949701925907]",0.27231,177.56956,0.99991,9869.72151,Non classé
M145T2483,0.23139,-0.26314,0.99990,10812.36770,"[-0.7049491181808478, 0.1786746918042454]",0.70985,0.87807,0.99990,10023.53880,"[-3.9353134416800364, 5.691447708298589]",0.48027,30.37668,0.99991,9443.20976,Non classé
M145T1200,0.30623,-0.23221,0.99990,10643.64325,"[-0.6900627990245722, 0.22564173449409825]",0.38193,3.44084,0.99991,10133.47314,"[-4.532070312904018, 11.413745674052272]",0.00004,397.52910,0.99995,19574.80725,Recyclé
M155T1582,0.42726,-0.17270,0.99990,10464.22197,"[-0.6134173218427634, 0.2680252321253136]",0.95471,0.30047,0.99990,9645.15074,"[-10.504494316206726, 11.10543338328136]",0.01542,332.21041,0.99992,11534.22728,Recyclé
M159T2482,0.88745,-0.02218,0.99990,10206.84719,"[-0.3417136854501294, 0.297346386258821]",0.29292,2.46159,0.99990,9859.88516,"[-2.2630262472628377, 7.186208469866338]",0.37721,41.43424,0.99991,9405.95760,Non classé
M161T546,0.14460,-0.29331,0.99991,11123.80091,"[-0.6944424173329156, 0.10781416498293189]",0.80807,0.64702,0.99991,10277.46581,"[-4.7898870627682015, 6.083920425215318]",0.01472,79.42624,0.99993,12334.78858,Recyclé
M161T1169,0.03794,0.28053,0.99991,12158.00995,"[0.016898669898897434, 0.5441534526497974]",0.73404,1.55441,0.99991,11259.98770,"[-7.778879312432837, 10.887699700455885]",0.57926,64.65888,0.99992,10518.51044,Produit
M161T2482,0.24529,-0.23936,0.99990,10776.08454,"[-0.653669083347612, 0.17495747542285728]",0.17577,3.86864,0.99991,10736.68399,"[-1.854652875788251, 9.591933501818652]",0.10805,114.11418,0.99992,11096.40334,Non classé
M163T1583,0.27087,-0.20552,0.99990,10715.75155,"[-0.5814327203951473, 0.17039829164658266]",0.19414,-3.55127,0.99991,10609.96520,"[-9.038151114449075, 1.9356043325482908]",0.47833,48.76580,0.99991,9997.64634,Non classé
M163T1397,0.18150,-0.29389,0.99991,10969.24032,"[-0.7342618459002488, 0.1464845397813062]",0.44360,2.89621,0.99991,10364.87686,"[-4.777245570257834, 10.569659689670956]",0.13080,138.53718,0.99992,10570.56750,Non classé
M164T1542,0.77700,0.07169,0.99990,10231.95094,"[-0.4440114731301178, 0.5873968590202575]",0.27849,-6.95127,0.99990,9912.90289,"[-19.88976896282327, 5.9872382460743]",0.73415,63.73692,0.99990,9181.42056,Non classé
M167T2886,0.12654,-0.07307,0.99991,11217.74705,"[-0.16829268537494668, 0.022143284980610342]",0.96673,-0.00645,0.99991,10339.04096,"[-0.322407583336262, 0.3095031774468326]",0.56028,-0.22768,0.99991,9671.86175,Non classé
M167T3019,0.19544,-0.10758,0.99990,10920.46400,"[-0.2741296670915705, 0.05897635250128662]",0.34429,0.58707,0.99991,10454.64027,"[-0.6688566663679651, 1.843002070213977]",0.26289,-5.66558,0.99991,10185.46236,Non classé
M168T2886,0.23537,-0.21636,0.99990,10801.69594,"[-0.5828337463212219, 0.1501121619186379]",0.80821,0.66661,0.99990,9979.83067,"[-4.939104636003753, 6.272329306031706]",0.79083,18.35100,0.99990,9224.95243,Non classé
M168T3018,0.85535,-0.05166,0.99990,10212.34709,"[-0.6292492077603199, 0.5259383907584702]",0.85111,-0.92676,0.99990,9425.81822,"[-11.007729278068924, 9.154207980372322]",0.07930,267.44111,0.99991,9958.90894,Non classé
M169T2482,0.00012,-0.11255,0.99994,18680.72089,"[-0.16338735986447073, -0.061712921154355]",0.44200,0.04303,0.99995,17654.57677,"[-0.07057894740779178, 0.15664713387640658]",0.24563,0.15601,0.99995,17272.36353,Substrat
M170T2482,0.37493,-0.17756,0.99990,10531.47969,"[-0.582336589698568, 0.2272252449570643]",0.29012,3.57096,0.99991,10179.07488,"[-3.2422830395224596, 10.384207443325433]",0.01251,190.06029,0.99993,12373.42214,Recyclé
M172T1073,0.54271,-0.15132,0.99990,10353.90061,"[-0.6562879104826738, 0.3536506334138376]",0.92001,0.54602,0.99990,9546.25008,"[-10.55831560880911, 11.65035019000209]",0.00904,407.12219,0.99993,11905.44681,Recyclé
M173T1583,0.00791,-0.08654,0.99992,13599.18047,"[-0.14827889300284605, -0.024806764115422784]",0.47261,0.07823,0.99993,12811.11185,"[-0.1430342086790842, 0.2995036502809353]",0.04641,0.45821,0.99994,14079.87995,"Substrat,Recyclé"
M173T1394,0.08523,-0.20686,0.99991,11508.81330,"[-0.4445772609265524, 0.03086725345330371]",0.41510,0.70588,0.99991,10910.49894,"[-1.0508219178995273, 2.462573180246861]",0.76255,2.18259,0.99991,10094.60877,Non classé
M173T1170,0.27691,-0.25033,0.99990,10702.58507,"[-0.7141651861566607, 0.2134979188052974]",0.65414,-2.32980,0.99990,9948.09912,"[-12.928697283904352, 8.269102949101704]",0.22725,-194.96868,0.99991,9780.43168,Non classé
M173T1240,0.01312,-0.40117,0.99992,13108.16900,"[-0.7105586390345815, -0.09178688969780424]",0.26043,1.28899,0.99992,12749.21500,"[-1.0191784015250698, 3.5971578813581595]",0.22079,-21.80590,0.99993,12557.29763,Substrat
M174T1583,0.12330,-0.37276,0.99991,11236.28974,"[-0.8541045912088734, 0.10859443403931829]",0.13330,9.49557,0.99992,11397.30520,"[-3.116465167021431, 22.10761463615904]",0.65310,109.25446,0.99992,10597.02514,Non classé
M175T972,0.34155,-0.18928,0.99990,10582.03140,"[-0.5913354162759961, 0.21278263079051934]",0.02694,4.08019,0.99992,12009.56123,"[0.5069762447484059, 7.653399784768014]",0.55777,-24.94336,0.99992,11236.75394,Transitoire
M179T1169,0.49262,0.09573,0.99990,10396.34902,"[-0.1873961685017403, 0.37885739317705364]",0.22323,6.80622,0.99991,10205.46002,"[-4.428585184758646, 18.04102547200378]",0.28332,-212.97296,0.99991,9897.58162,Non classé
M179T1240,0.07180,-0.20545,0.99991,11640.64224,"[-0.43049893003396006, 0.019607062142123988]",0.23068,0.76679,0.99992,11404.14632,"[-0.5200485407220024, 2.0536372664893685]",0.63359,-3.01008,0.99992,10615.27160,Non classé
M186T1722,0.42743,-0.18615,0.99990,10464.02570,"[-0.6613906406272694, 0.28908543465301234]",0.42163,3.70965,0.99990,9912.27742,"[-5.654749365218857, 13.074059341503363]",0.00414,381.10016,0.99993,13159.46296,Recyclé
M187T2869,0.33220,-0.11853,0.99990,10597.45767,"[-0.3653969959669361, 0.12833534935379642]",0.41159,0.52867,0.99990,10050.81894,"[-0.777046879460985, 1.8343939318884341]",0.32691,4.28945,0.99991,9665.65760,Non classé
M187T2483,0.27826,-0.18000,0.99990,10699.68830,"[-0.5144806111030804, 0.15447743773333972]",0.17254,3.99908,0.99991,10673.14037,"[-1.8712236038769037, 9.869387791573093]",0.45024,63.39790,0.99991,10087.32947,Non classé
M190T2330,0.40474,-0.19066,0.99990,10491.56095,"[-0.6539688426823587, 0.27265190165695]",0.41861,3.17900,0.99990,9941.93120,"[-4.79318860826829, 11.151191034869344]",0.00734,249.06733,0.99993,12606.12345,Recyclé
M191T1476,0.00582,0.13775,0.99993,13908.74855,"[0.043674053995803125, 0.23182901707896522]",0.49155,-0.32997,0.99993,13078.93878,"[-1.304900372114937, 0.6449578857232307]",0.52545,-3.66403,0.99993,12269.76457,Produit
