Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.49854,0.11522,0.99990,11212.00384,"[-0.22982398131875964, 0.4602606461656367]",0.82418,1.05786,0.99990,10352.40745,"[-8.646154726080765, 10.761865210906022]",0.91131,15.42733,0.99990,9545.81682,Non classé
M109T1541,0.29922,0.21759,0.99990,11487.72153,"[-0.20464806643022232, 0.6398215906735825]",0.74281,-1.75833,0.99990,10632.26105,"[-12.672536350275458, 9.155882765882488]",0.78764,48.09608,0.99990,9828.99086,Non classé
M111T1582,0.07450,-0.47236,0.99991,12475.04823,"[-0.9948800299351087, 0.0501666918352387]",0.95972,-0.44993,0.99991,11496.63375,"[-18.61528251413308, 17.715412780123653]",0.37552,-362.01636,0.99991,10955.27786,Non classé
M116T2326,0.40955,-0.17894,0.99990,11310.05136,"[-0.6177675021381931, 0.25987789184866916]",0.94754,0.31472,0.99990,10423.76383,"[-9.43828115542675, 10.067727673202533]",0.00861,281.62324,0.99993,12883.29067,Recyclé
M119T1583,0.02668,-0.31974,0.99992,13350.46048,"[-0.5994952943025924, -0.0399883890756107]",0.87529,0.24050,0.99992,12314.47978,"[-2.883396346349755, 3.3644046644583514]",0.55966,13.22347,0.99992,11514.53626,Substrat
M119T1393,0.32302,-0.19056,0.99990,11442.33859,"[-0.5793898310574739, 0.19826146679182832]",0.81848,0.94701,0.99990,10566.51173,"[-7.462229563709434, 9.356249642428727]",0.01229,316.09517,0.99992,12713.30043,Recyclé
M123T2886,0.11469,-0.30596,0.99991,12140.95067,"[-0.691260982686835, 0.07934961775968419]",0.10938,-3.73496,0.99992,12421.00789,"[-8.368527199670137, 0.8986147592560298]",0.25697,41.98594,0.99992,12090.42906,Non classé
M123T3018,0.71916,-0.09948,0.99990,11068.40621,"[-0.6620260652236284, 0.4630593545808247]",0.84092,1.10812,0.99990,10216.03576,"[-10.144507129640202, 12.360740405314926]",0.04426,317.87596,0.99991,11183.39986,Recyclé
M123T2482,0.85834,-0.02962,0.99990,11026.19729,"[-0.3674229699430893, 0.30817322584629947]",0.10722,3.90013,0.99991,11295.11182,"[-0.9072122248186654, 8.707479774211762]",0.06032,120.47352,0.99992,12095.28178,Non classé
M125T2483,0.01832,-0.10212,0.99992,13697.02672,"[-0.18550125182608868, -0.018737920235553443]",0.82484,0.02221,0.99992,12646.71651,"[-0.18233466204949597, 0.2267618812169044]",0.02716,0.93513,0.99993,14344.05515,"Substrat,Recyclé"
M127T1169,0.03655,0.24762,0.99991,13070.86928,"[0.016723183924666568, 0.4785141605106825]",0.83693,-0.71221,0.99991,12065.31207,"[-7.76498762282143, 6.340565590811373]",0.89980,11.92499,0.99991,11126.89451,Produit
M131T579,0.30481,-0.20686,0.99990,11476.64495,"[-0.6130471129519295, 0.19932235199793086]",0.27291,4.44590,0.99991,11107.12880,"[-3.7217808043566603, 12.613573941052811]",0.00134,342.92731,0.99994,15851.12151,Recyclé
M133T1170,0.51927,0.11326,0.99990,11193.25205,"[-0.24307501777142654, 0.4695987553892709]",0.64168,2.32835,0.99990,10405.85494,"[-7.851373750551556, 12.50806598026163]",0.75759,45.33620,0.99990,9628.98352,Non classé
M135T1170,0.13161,0.22815,0.99991,12039.06909,"[-0.0730912863718764, 0.5293985260974883]",0.48699,-3.60531,0.99991,11314.60859,"[-14.129476325730927, 6.918863606039674]",0.36814,134.48236,0.99991,10793.12603,Non classé
M135T1242,0.09268,-0.16761,0.99991,12303.25602,"[-0.36496790024510684, 0.02975321604895939]",0.10797,0.67323,0.99992,12597.60335,"[-0.15847394672127124, 1.5049298844560062]",0.77893,1.44682,0.99992,11648.94081,Non classé
M137T512,0.60718,-0.09749,0.99990,11127.15459,"[-0.48253342327095056, 0.2875627031324998]",0.14517,4.58378,0.99991,11180.91007,"[-1.694161645374244, 10.86172559379029]",0.00099,310.75373,0.99994,16347.10479,Recyclé
M137T2483,0.11653,-0.22402,0.99991,12129.03940,"[-0.5076307411010655, 0.05959921439217186]",0.04561,4.50358,0.99992,13155.77287,"[0.09507964735704189, 8.912076683424164]",0.60620,-26.53765,0.99992,12262.22179,Transitoire
M137T1541,0.15470,0.22741,0.99991,11922.54999,"[-0.09149595236201241, 0.5463199876515865]",0.83786,1.25730,0.99991,11005.11448,"[-11.266017146525506, 13.78062617880753]",0.26901,174.57483,0.99991,10683.45571,Non classé
M145T2483,0.34982,-0.18312,0.99990,11396.41544,"[-0.5784671213602076, 0.21222804671007423]",0.59300,1.22690,0.99990,10624.66157,"[-3.4399779784476463, 5.893774438342166]",0.46793,30.91838,0.99990,10013.65924,Non classé
M145T1200,0.42138,-0.16480,0.99990,11295.13821,"[-0.5794532356879459, 0.2498559689562464]",0.36693,3.51467,0.99990,10759.74670,"[-4.362853074746363, 11.392186999278957]",0.00004,398.25690,0.99995,20390.26385,Recyclé
M155T1582,0.49166,-0.14234,0.99990,11218.53384,"[-0.5617904869640531, 0.2771132977085154]",0.97522,0.16170,0.99990,10337.99820,"[-10.455005442712968, 10.778409017309622]",0.01141,335.12200,0.99992,12508.25139,Recyclé
M159T2482,0.95111,-0.00921,0.99990,11014.05528,"[-0.31499762968098977, 0.29657676538479527]",0.31652,2.28055,0.99990,10573.32575,"[-2.3147572716726508, 6.875865975458435]",0.30753,44.63636,0.99991,10185.76026,Non classé
M161T546,0.27711,-0.18725,0.99990,11534.45184,"[-0.5339616797509157, 0.15946760208871158]",0.55277,1.48017,0.99990,10782.65250,"[-3.5860287796736587, 6.546372748455814]",0.00889,82.10318,0.99993,13294.34902,Recyclé
M161T1169,0.03434,0.28106,0.99991,13125.55963,"[0.022394991122269337, 0.5397156179127793]",0.77390,1.27592,0.99991,12135.67045,"[-7.772882944567888, 10.324715226227132]",0.53966,69.55113,0.99992,11364.66916,Produit
M161T2482,0.28628,-0.21075,0.99990,11514.50714,"[-0.60866640428614, 0.18716139028286888]",0.20133,3.58476,0.99991,11341.33805,"[-2.041015757444506, 9.210532165622336]",0.10971,112.77580,0.99992,11653.88914,Non classé
M163T1583,0.31618,-0.17919,0.99990,11454.90617,"[-0.539568342497208, 0.1811948535527868]",0.14512,-3.61780,0.99991,11510.50988,"[-8.572047502182526, 1.336442309481047]",0.47126,48.43646,0.99991,10844.93527,Non classé
M163T1397,0.28829,-0.20846,0.99990,11510.22578,"[-0.6037389941592413, 0.18681583945036023]",0.40839,3.10407,0.99990,10906.38618,"[-4.4986576544259265, 10.706791225593548]",0.11459,143.26040,0.99991,11174.28386,Non classé
M164T1542,0.70231,0.09064,0.99990,11075.69249,"[-0.39145646298492864, 0.5727267238444542]",0.29277,-6.54714,0.99990,10677.53373,"[-19.093830387184937, 5.9995475656434945]",0.65334,79.36053,0.99990,9925.23198,Non classé
M167T2886,0.11003,-0.07238,0.99991,12172.10499,"[-0.16230095037022657, 0.017539243068598054]",0.95918,-0.00765,0.99991,11217.48186,"[-0.312507587759998, 0.29720281336593046]",0.55191,-0.22440,0.99991,10494.87685,Non classé
M167T3019,0.17601,-0.10956,0.99990,11832.06084,"[-0.2714653047741093, 0.052340227435593537]",0.33528,0.58628,0.99991,11323.93950,"[-0.6427365713856861, 1.815299687882113]",0.27790,-5.29529,0.99991,10972.16979,Non classé
M168T2886,0.25572,-0.20161,0.99990,11584.56750,"[-0.558187189156497, 0.15497300709736195]",0.83979,0.54527,0.99990,10692.70087,"[-4.95230788813063, 6.0428433661850285]",0.78035,18.99497,0.99990,9887.05260,Non classé
M168T3018,0.99361,-0.00200,0.99990,11012.45920,"[-0.5101969479503321, 0.5061995112912001]",0.91045,-0.53572,0.99990,10152.93866,"[-10.247207291926347, 9.175762041075508]",0.06698,271.09589,0.99991,10792.48050,Non classé
M169T2482,0.00012,-0.11048,0.99994,19635.62463,"[-0.160819209307152, -0.060149685540105025]",0.30827,0.05354,0.99994,18876.65044,"[-0.052480683565516606, 0.15955875551544307]",0.25275,0.15143,0.99995,18392.22015,Substrat
M170T2482,0.45351,-0.14082,0.99990,11257.74448,"[-0.5211800499158123, 0.23954484157602285]",0.33663,3.16931,0.99990,10772.01218,"[-3.4934508027912203, 9.832064639340821]",0.00907,194.69414,0.99993,13261.72207,Recyclé
M172T1073,0.66285,-0.09869,0.99990,11094.81801,"[-0.5586574951237238, 0.36128457334734615]",0.89049,0.73622,0.99990,10231.50303,"[-10.164885611367605, 11.637332774296894]",0.00717,411.35384,0.99993,12823.03134,Recyclé
M173T1583,0.00665,-0.08684,0.99992,14697.90573,"[-0.14735130090460505, -0.026322530138347143]",0.43761,0.08168,0.99992,13880.90544,"[-0.13156628766531336, 0.2949257961945021]",0.04503,0.45013,0.99994,15176.40701,"Substrat,Recyclé"
