Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.77575,0.00000,0.50865,3.19185,"[-2.603808355745046e-06, 3.4629964864192655e-06]",0.00215,0.00000,0.62307,4.57758,"[7.530328208745266e-10, 3.143572674086166e-09]",0.74101,0.00000,0.62426,4.15357,Transitoire
M109T1541,0.38191,-0.00000,0.39798,2.03834,"[-4.769224540669032e-06, 1.869705343338505e-06]",0.00183,0.00000,0.54202,3.27739,"[8.585218884618093e-10, 3.4635934898499776e-09]",0.34385,0.00000,0.55376,3.10237,Transitoire
M111T1582,0.01879,0.00000,0.71887,7.88439,"[5.452188572748961e-07, 5.666196583797934e-06]",0.02007,0.00000,0.75857,8.70086,"[2.1310651018820165e-10, 2.348115506953488e-09]",0.86525,-0.00000,0.75877,7.86358,"Produit,Transitoire"
M116T2326,0.01858,0.00000,0.58762,4.39367,"[6.390304253481944e-07, 6.576633898216905e-06]",0.00529,0.00000,0.66873,5.59022,"[5.552833091876688e-10, 2.949470119466515e-09]",0.97710,0.00000,0.66874,5.04690,"Produit,Transitoire"
M119T1583,0.00010,0.00001,0.88075,22.77341,"[3.7022100539814256e-06, 1.0154979669757096e-05]",0.99700,-0.00000,0.88075,20.45347,"[-1.4542113416350253e-09, 1.448799890374803e-09]",0.08943,-0.00000,0.89032,20.29287,Produit
M119T1393,0.01952,0.00000,0.77129,10.39785,"[6.365683846258397e-07, 6.845229659752929e-06]",0.00146,0.00000,0.82806,13.33638,"[8.475944831322696e-10, 3.2694343202759997e-09]",0.76670,-0.00000,0.82850,12.07693,"Produit,Transitoire"
M123T2886,0.88911,-0.00000,0.90320,28.77068,"[-2.6326617864251693e-06, 2.2914730423119295e-06]",0.12426,0.00000,0.90944,27.80838,"[-2.399387755546696e-10, 1.902864110962205e-09]",0.57567,-0.00000,0.91025,25.35657,Non classé
M123T3018,0.23143,0.00000,0.74347,8.93616,"[-9.221766688775773e-07, 3.6942195537208435e-06]",0.07170,0.00000,0.76587,9.05839,"[-8.435113972998523e-11, 1.899776126080635e-09]",0.82297,-0.00000,0.76621,8.19321,Non classé
M123T2482,0.00041,0.00001,0.64843,5.68690,"[3.3815236776444777e-06, 1.0748720693789389e-05]",0.01301,0.00000,0.70449,6.60178,"[4.383732885674584e-10, 3.4770653476891465e-09]",0.34317,-0.00000,0.71209,6.18314,"Produit,Transitoire"
M125T2483,0.00000,0.00007,0.90556,29.56668,"[5.6298503302072655e-05, 8.109453172099992e-05]",0.69299,0.00000,0.90598,26.68371,"[-4.473299848007329e-09, 6.65762955031871e-09]",0.98275,0.00000,0.90598,24.08982,Produit
M127T1169,0.76090,-0.00000,0.38111,1.89871,"[-4.40662762514111e-06, 3.248459599137339e-06]",0.01087,0.00000,0.48443,2.60200,"[5.098397810074504e-10, 3.653161581522983e-09]",0.86611,0.00000,0.48486,2.35302,Transitoire
M131T579,0.01148,0.00000,0.65940,5.96935,"[9.855679809622614e-07, 7.284424022058617e-06]",0.01310,0.00000,0.71361,6.90018,"[3.730209878374437e-10, 2.9715197583009734e-09]",0.95703,0.00000,0.71363,6.23006,"Produit,Transitoire"
M133T1170,0.17721,0.00000,0.59938,4.61299,"[-8.780145095752996e-07, 4.591072521969914e-06]",0.10108,0.00000,0.62859,4.68675,"[-2.0170285518893967e-10, 2.1673560214777734e-09]",0.29787,0.00000,0.64007,4.44586,Non classé
M135T1170,0.82562,0.00000,0.43742,2.39733,"[-3.0083308763972354e-06, 3.7482247677628753e-06]",0.41437,0.00000,0.44787,2.24635,"[-8.925934852143641e-10, 2.118701363557125e-09]",0.45177,0.00000,0.45686,2.10287,Non classé
M135T1242,0.00008,0.00002,0.79544,11.98960,"[8.448008244863896e-06, 2.256695181904177e-05]",0.77415,0.00000,0.79591,10.79964,"[-2.7200527289170046e-09, 3.6245033228821487e-09]",0.48637,0.00000,0.79876,9.92291,Produit
M137T512,0.00318,0.00001,0.70355,7.31769,"[1.7898041296525235e-06, 8.210660908115266e-06]",0.02068,0.00000,0.74504,8.09234,"[2.590749444353144e-10, 2.9379765475097843e-09]",0.91291,0.00000,0.74513,7.30898,"Produit,Transitoire"
M137T2483,0.00001,0.00001,0.72946,8.31370,"[5.70273117459186e-06, 1.328583636846383e-05]",0.26836,0.00000,0.73864,7.82613,"[-7.472241065316012e-10, 2.6059576909501532e-09]",0.41141,-0.00000,0.74370,7.25414,Produit
