Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.43954,0.12450,0.99982,15044.16255,"[-0.1985343107264742, 0.44752618798937494]",0.74934,1.43740,0.99982,13621.78751,"[-7.623789280079031, 10.498598061755697]",0.96061,-6.75124,0.99982,12351.32007,Non classé
M109T1541,0.53402,0.09170,0.99981,14955.12008,"[-0.20448337471071248, 0.3878906945406127]",0.21522,-6.54172,0.99982,14115.81305,"[-17.063376198889898, 3.9799363869169877]",0.91690,19.85555,0.99982,12802.49687,Non classé
M111T1582,0.33222,-0.18482,0.99982,15190.11778,"[-0.5661901705841105, 0.19654237454539414]",0.87846,-1.08312,0.99982,13722.60057,"[-15.356846770710323, 13.190597987277282]",0.48572,-273.65856,0.99982,12623.64752,Non classé
M116T2326,0.85164,-0.03091,0.99981,14807.65314,"[-0.36372177705459396, 0.30189558369397407]",0.79686,-1.08510,0.99981,13393.72166,"[-9.577880909347714, 7.407681820641885]",0.13193,169.70796,0.99983,12994.88052,Non classé
M119T1583,0.09434,-0.25043,0.99983,16006.52454,"[-0.5460046851914298, 0.04515318694562259]",0.97331,-0.04944,0.99983,14450.80349,"[-3.028300608212073, 2.929416802620446]",0.61115,12.42513,0.99983,13203.56025,Non classé
M119T1393,0.80983,-0.03803,0.99981,14817.22120,"[-0.3562310570242871, 0.28016236977872594]",0.70308,1.56882,0.99981,13433.11444,"[-6.718547247112484, 9.856192535971145]",0.07735,211.59970,0.99983,13368.02291,Non classé
M123T2886,0.36048,-0.18117,0.99982,15145.68614,"[-0.5778417244052665, 0.21550708039147604]",0.44910,-2.01455,0.99982,13902.15782,"[-7.35711357783864, 3.328012101533724]",0.10855,65.58016,0.99983,13611.74074,Non classé
M123T3018,0.70381,-0.08076,0.99981,14853.42465,"[-0.5081466250212123, 0.34663276303967444]",0.73236,1.84525,0.99981,13454.87908,"[-9.021496856164433, 12.711987232689054]",0.00773,405.75145,0.99985,15076.39698,Recyclé
M123T2482,0.90543,0.01582,0.99981,14798.95177,"[-0.2523690353353429, 0.2840131876137861]",0.67546,1.08863,0.99981,13428.22190,"[-4.145866725145794, 6.323124993756238]",0.22978,86.57394,0.99982,12710.52887,Non classé
M125T2483,0.04496,-0.07807,0.99983,16566.79417,"[-0.1542936177221864, -0.001853851692039582]",0.48217,0.06845,0.99984,15171.81972,"[-0.12715658511632114, 0.26405174494874795]",0.27315,0.52989,0.99984,14257.82835,Substrat
M127T1169,0.02303,0.28118,0.99984,17110.21865,"[0.0410134081432004, 0.5213564862863916]",0.63028,1.58649,0.99984,15550.80935,"[-5.0460982889003265, 8.2190745368507]",0.23210,113.64697,0.99985,14713.37846,Produit
M131T579,0.65243,-0.07012,0.99981,14877.84484,"[-0.38321600478729095, 0.24298458602982848]",0.63277,1.88861,0.99982,13520.57971,"[-6.065005068923639, 9.842217094910325]",0.05678,236.35803,0.99983,13661.12696,Non classé
M133T1170,0.39540,0.15164,0.99982,15097.14137,"[-0.20589991617465347, 0.5091717997255896]",0.40535,4.37299,0.99982,13905.67276,"[-6.167087405419794, 14.913071898668692]",0.37051,129.28932,0.99982,12913.28124,Non classé
M135T1170,0.05895,0.26750,0.99983,16356.51403,"[-0.010656204768994926, 0.5456498208923675]",0.19609,-5.40243,0.99984,15499.21288,"[-13.724276803706129, 2.9194191071659654]",0.19462,171.15245,0.99985,14776.32253,Non classé
M135T1242,0.07253,-0.12253,0.99983,16199.76548,"[-0.2568621459604183, 0.011792920510108329]",0.42844,0.34900,0.99983,14893.03974,"[-0.5353403843218785, 1.233335227187895]",0.59980,2.25881,0.99983,13614.44886,Non classé
