Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M109T1167,0.22170,0.17561,0.99981,16517.37051,"[-0.11065155089511303, 0.46186453282343776]",0.75099,1.41726,0.99981,14876.87209,"[-7.571469248181476, 10.405997775111356]",0.85317,-24.61448,0.99981,13443.85075,Non classé
M109T1541,0.35662,0.13088,0.99981,16228.66562,"[-0.15320510543071403, 0.4149682330427063]",0.18622,-6.93257,0.99982,15310.80259,"[-17.366083513905377, 3.5009404519111875]",0.89361,25.32779,0.99982,13829.42018,Non classé
M111T1582,0.51542,-0.12140,0.99981,16040.03780,"[-0.49593811073139155, 0.2531443488826272]",0.47939,-4.58807,0.99981,14610.47776,"[-17.60715110862011, 8.431012174452228]",0.39017,-334.72987,0.99981,13475.38520,Non classé
M116T2326,0.83613,0.03247,0.99981,15873.77990,"[-0.28334921182269596, 0.3482843752770884]",0.65885,-1.84292,0.99981,14335.20326,"[-10.238512341154495, 6.552679694233836]",0.14060,166.55306,0.99982,13782.22512,Non classé
M119T1583,0.16885,-0.20400,0.99982,16699.24654,"[-0.498534795381286, 0.09054235742075933]",0.75950,-0.45269,0.99982,15037.72624,"[-3.428932334104084, 2.523559275046924]",0.54604,14.94938,0.99982,13719.90676,Non classé
M119T1393,0.90596,0.01793,0.99981,15861.24687,"[-0.2874681921560088, 0.3233247069951622]",0.99721,-0.01378,0.99981,14245.44910,"[-7.944281243584264, 7.916714383508008]",0.06385,222.47758,0.99982,14206.58936,Non classé
M123T2886,0.45116,-0.14916,0.99981,16103.75114,"[-0.5460176962213424, 0.24769887233292176]",0.28847,-2.73965,0.99981,14929.68448,"[-7.896778215413839, 2.41748173654038]",0.13756,60.61555,0.99983,14367.76813,Non classé
M123T3018,0.94993,-0.01296,0.99981,15856.89612,"[-0.42845415026000483, 0.4025243034286961]",0.76148,1.64848,0.99981,14278.54928,"[-9.282656780835325, 12.579609615427174]",0.00658,415.74992,0.99984,15965.87624,Recyclé
M123T2482,0.63056,0.06101,0.99981,15955.98422,"[-0.19389196903149386, 0.3159111448243176]",0.85356,0.47047,0.99981,14344.29075,"[-4.662054402576269, 5.602998995500977]",0.22282,88.16494,0.99982,13519.72756,Non classé
M125T2483,0.07161,-0.07028,0.99982,17329.71599,"[-0.1470474737900761, 0.0064933730735786815]",0.49475,0.06765,0.99982,15770.06577,"[-0.1312503987444166, 0.2665476296983712]",0.40566,0.40563,0.99983,14525.10234,Non classé
M127T1169,0.01191,0.29999,0.99984,18854.11738,"[0.07020050719984122, 0.5297831159666886]",0.57947,1.79651,0.99984,17080.55623,"[-4.718669844707892, 8.31169539311826]",0.21493,116.42385,0.99984,16122.88584,Produit
M131T579,0.93343,-0.01251,0.99981,15858.21413,"[-0.31387316217157024, 0.28885642480803564]",0.88178,0.57403,0.99981,14251.59617,"[-7.199239129344425, 8.347290549842887]",0.05259,242.69198,0.99983,14346.07507,Non classé
M133T1170,0.30649,0.18072,0.99981,16316.03410,"[-0.17240940902064794, 0.533850068640198]",0.37451,4.66014,0.99982,14983.10556,"[-5.8503044838459655, 15.170586925091774]",0.31202,144.51979,0.99982,13933.17001,Non classé
M135T1170,0.04498,0.28300,0.99983,17700.86237,"[0.006677693745160973, 0.5593236435829874]",0.21368,-5.19711,0.99983,16605.45046,"[-13.52336588603973, 3.1291426345976916]",0.36121,116.09370,0.99984,15357.70278,Produit
M135T1242,0.10714,-0.11013,0.99982,17023.88078,"[-0.24527316676937574, 0.02500424902335177]",0.74669,0.13847,0.99982,15334.64319,"[-0.7243353842113914, 1.00128104925005]",0.31239,4.16837,0.99982,14259.41655,Non classé
M137T512,0.97664,-0.00426,0.99981,15855.55539,"[-0.29702624104327136, 0.28850607803909245]",0.68460,1.31477,0.99981,14306.67949,"[-5.196693953179226, 7.8262370206528455]",0.01812,267.08945,0.99984,15184.96040,Recyclé
M137T2483,0.64446,-0.05479,0.99981,15947.96734,"[-0.29337867526084077, 0.18380306272631125]",0.28880,2.03775,0.99981,14784.61990,"[-1.8007835507782635, 5.876292394104574]",0.61869,29.01566,0.99981,13443.41293,Non classé
M137T1541,0.29617,0.13381,0.99981,16336.44527,"[-0.12205398425233749, 0.3896790140454732]",0.73741,-2.31211,0.99981,14718.77351,"[-16.189924831280834, 11.565709437670124]",0.02507,362.03169,0.99984,15368.29948,Recyclé
